county,PRES20D,PRES20L,PRES20R
Appling,1779,36,6526
Atkinson,825,30,2300
Bacon,625,25,4018
Baker,652,6,897
Baldwin,9140,208,8903
Banks,932,74,7795
Barrow,10453,664,26804
Bartow,12092,701,37674
Ben Hill,2392,58,4110
Berrien,1269,55,6419
Bibb,43468,749,26585
Bleckley,1311,67,4328
Brantley,699,56,6991
Brooks,2790,50,4260
Bryan,6739,357,14244
Bulloch,11243,455,18386
Burke,5209,75,5400
Butts,3274,91,8406
Calhoun,1260,11,923
Camden,7967,470,15251
Candler,1269,29,3133
Carroll,16238,760,37476
Catoosa,6932,494,25167
Charlton,1103,44,3419
Chatham,78254,1929,53237
Chattahoochee,667,35,880
Chattooga,1854,132,8064
Cherokee,42794,2449,99587
Clarke,36048,839,14446
Clay,790,7,637
Clayton,95476,1055,15813
Clinch,747,12,2105
Cobb,221846,6441,165459
Coffee,4511,125,10578
Colquitt,4187,119,11777
Columbia,29236,1330,50013
Cook,2059,76,4900
Coweta,24210,1088,51501
Crawford,1615,59,4428
Crisp,2986,66,4987
Dade,1261,107,6066
Dawson,2486,197,13398
DeKalb,308227,4204,58373
Decatur,4780,89,6758
Dodge,2171,56,5843
Dooly,1911,35,2159
Dougherty,24577,280,10454
Douglas,42809,837,25451
Early,2437,28,2722
Echols,167,18,1256
Effingham,7720,492,23358
Elbert,2879,66,6226
Emanuel,2884,66,6551
Evans,1324,35,2888
Fannin,2571,110,12169
Fayette,33065,976,37952
Floyd,12008,517,29123
Forsyth,42203,1980,85122
Franklin,1593,103,9069
Fulton,381144,6275,137240
Gilmer,2932,164,13429
Glascock,155,8,1403
Glynn,15879,489,25616
Gordon,4384,244,19405
Grady,3619,54,7034
Greene,4088,91,7068
Gwinnett,241827,5625,166413
Habersham,3563,232,16637
Hall,25031,1322,64170
Hancock,2985,21,1159
Haralson,1792,125,12331
Harris,5457,215,14319
Hart,3157,106,9464
Heard,824,51,4516
Henry,73276,1279,48187
Houston,32232,1057,41534
Irwin,1008,26,3134
Jackson,7642,531,29497
Jasper,1761,61,5822
Jeff Davis,1028,48,4695
Jefferson,4061,44,3537
Jenkins,1266,28,2161
Johnson,1222,28,2850
Jones,4888,113,9965
Lamar,2615,94,6330
Lanier,1019,48,2509
Laurens,8073,163,14493
Lee,4558,149,12007
Liberty,13099,331,7959
Lincoln,1435,36,3179
Long,2033,95,3528
Lowndes,20117,547,25691
Lumpkin,3126,242,12163
Macon,2857,22,1783
Madison,3411,200,11326
Marion,1311,38,2275
McDuffie,4168,118,6169
McIntosh,2612,68,4016
Meriwether,4287,66,6524
Miller,749,20,2066
Mitchell,3995,33,4935
Monroe,4384,148,11060
Montgomery,979,27,2960
Morgan,3355,122,8230
Murray,2302,144,12943
Muscogee,49529,965,30049
Newton,29794,576,23869
Oconee,8162,411,16595
Oglethorpe,2436,102,5593
Paulding,29704,1156,54525
Peach,5920,123,6502
Pickens,2808,233,14075
Pierce,1100,49,7899
Pike,1505,88,9127
Polk,3658,152,13589
Pulaski,1217,37,2805
Putnam,3448,116,8291
Quitman,497,5,604
Rabun,1984,110,7474
Randolph,1671,12,1391
Richmond,59124,1111,26781
Rockdale,31244,430,13012
Schley,462,13,1800
Screven,2661,51,3916
Seminole,1254,19,2611
Spalding,11784,275,18057
Stephens,2385,132,9368
Stewart,1182,7,801
Sumter,6318,100,5732
Talbot,2114,16,1392
Taliaferro,561,7,360
Tattnall,2061,69,6053
Taylor,1387,34,2418
Telfair,1487,21,2825
Terrell,2376,36,2004
Thomas,8708,191,12954
Tift,5322,177,10784
Toombs,2939,103,7872
Towns,1550,45,6384
Treutlen,952,24,2101
Troup,11578,328,18143
Turner,1410,33,2349
Twiggs,2044,30,2370
Union,2801,108,12651
Upson,4201,96,8608
Walker,5769,411,23174
Walton,12682,571,37842
Ware,4211,116,9865
Warren,1469,16,1166
Washington,4730,66,4663
Wayne,2687,104,9987
Webster,639,3,748
Wheeler,689,13,1583
White,2411,183,12222
Whitfield,10670,440,25636
Wilcox,862,16,2403
Wilkes,2160,46,2823
Wilkinson,2075,31,2664
Worth,2395,60,6830
